uuid	edition	publication_link	slug	title_orig	subtitle_orig	title_eng	subtitle_eng	publication_date_year	place	libraries	source	cover	language	Author_ind	Compiler_ind	Editor_ind	Publisher_ind	Translator_ind	Author_org	Publisher_org	Translator_org
846c706f-8f81-4f65-b091-217296c7f2e3		https://tamizdatproject.org/publications/azbuka-2022-20/	azbuka-2022-20	Азбука. 2022 - 20		Azbuka. 2022 - 20		2025	Riga [Place of publication listed on title page is fictitious. Actual place of publication is unknown]	New York University | Princeton University Library | University of Pennsylvania Libraries	Andrei Bilzho. <i>Azbuka. 2022 - 20</i>. Riga: Freedom Letters, 2025.	https://tamizdatproject.org/media/publication_images/Screenshot_2026-02-14_at_00.09.51.png	Russian	Andrei Bilzho						Freedom Letters	
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39		https://tamizdatproject.org/publications/hey-sokoly-ili-moi-papa-muraviev-apostol/	hey-sokoly-ili-moi-papa-muraviev-apostol	Хей, соколы! или мой папа — Муравьев-Апостол		Hey, sokoly! ili moi papa - Muraviev-Apostol		2023	Duisburg	Princeton University Library | Harvard University | Deutsche Nationalbibliothek Frankfurt am Main | Deutsche Nationalbibliothek Leipzig | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Haus Potsdamer Straße	Anonimnyi avtor. <i>Hey, sokoly! ili moi papa - Muraviev-Apostol</i>. Duisburg: Fresh Verlag, 2023.	https://tamizdatproject.org/media/publication_images/hey-sokoly-ili-moi-papa-muraviev-apostol.jpg	Russian	Anonimnyi avtor						Fresh Verlag	
ecd9f48a-4f76-4e1e-9794-f266bc85b021		https://tamizdatproject.org/publications/50-piatdesiat/	50-piatdesiat	50 (пятьдесят)		50 (piatdesiat)		2026	Riga	Princeton University Library	Anton Dolin. <i>50 (piatdesiat)</i>. Riga: Meduza, 2026.	https://tamizdatproject.org/media/publication_images/50_dolin.png	Russian	Anton Dolin						Meduza	
3d5ee505-7d66-423c-98b2-d336c3d6143f	1	https://tamizdatproject.org/publications/alphabet_soup/	alphabet_soup	Alphabet Soup	The Translingual Sayings of Emma and Eva as Recorded by Their Father	Alphabet Soup	The Translingual Sayings of Emma and Eva as Recorded by Their Father	2026	New York	Boston College | Lafayette College	<p>Eugene Ostashevsky. <i>Alphabet Soup. The Translingual Sayings of Emma and Eva as Recorded by Their Father</i>. With an essay and poems by the author. New York - Helsinki: Tamizdat Project and Rab-Rab Press, 2026.&nbsp;</p>	https://tamizdatproject.org/media/publication_images/alphabet_soup.jpg	English	Eugene Ostashevsky						Tamizdat Project | Rab-Rab Press	
61b3de55-679c-4855-9871-1ce2aa08b306		https://tamizdatproject.org/publications/publication-8/	publication-8	Анархисты		Anarkhisty		2026	[Place Unidentified]	None	Mikhail Bokov. <i>Anarkhisty</i>. [Place Unidentified]: Freedom Letters, 2026.	https://tamizdatproject.org/media/publication_images/publication-8.jpeg	Russian	Mikhail Bokov						Freedom Letters	
189c2f9b-d3bc-407d-b5e3-abd52c491050		https://tamizdatproject.org/publications/angel-veshchei/	angel-veshchei	Ангел вещей		Angel veshchei		2026	Ozolnieki	New York University | Princeton University Library	Yanina Vishnevskaia. <i>Angel veshchei</i>. Ozolnieki: Literature without Borders, 2026.	https://tamizdatproject.org/media/publication_images/angel-veshchei.jpg	Russian	Yanina Vishnevskaia						Literature without Borders	
63bc4b22-d161-4a3e-b726-791f3ea25850		https://tamizdatproject.org/publications/cas-second-hand/	cas-second-hand	Час second-hand		Čas second-hand		2026	Vilnius	None	Svetlana Alexievich. <i>Čas second-hand</i>. Translated by Kaciaryna Macijeŭskaja. Vilnius: Pflaŭmbaŭm, 2026.	https://tamizdatproject.org/media/publication_images/chas.png	Belarusian	Svetlana Alexievich				Kaciaryna Macijeŭskaja		Pflaŭmbaŭm	
90f0c2df-5c6b-4b26-9051-4708045f75a6		https://tamizdatproject.org/publications/chernaia-rechka/	chernaia-rechka	Чёрная речка		Chernaia rechka		2026	[Place Unidentified]	None	Dmitry Bykov. <i>Chernaia rechka</i>. [Place Unidentified]: Freedom Letters, 2026.	https://tamizdatproject.org/media/publication_images/chernaia-rechka.jpeg	Russian	Dmitry Bykov						Freedom Letters	
43919f7d-488b-4bcf-828f-c41e83043098		https://tamizdatproject.org/publications/publication-7/	publication-7	Чудесным образом		Chudesnym obrazom		2026	[Place Unidentified]	None	Aleksandr Kabanov. <i>Chudesnym obrazom</i>. [Place Unidentified]: Freedom Letters, 2026.	https://tamizdatproject.org/media/publication_images/publication-7.jpeg	Russian	Aleksandr Kabanov						Freedom Letters	
396c8eb9-f2e4-4b86-a234-0413166fa4cd		https://tamizdatproject.org/publications/comme-leau-dans-un-poisson/	comme-leau-dans-un-poisson	Comme l’eau dans un poisson		Comme l’eau dans un poisson		2026	Paris	None	Daria Apakhonchich. <i>Comme l’eau dans un poisson</i>. Translated by Julie Bonin. Paris: Éditions Tourgueneff, 2026.	https://tamizdatproject.org/media/publication_images/comme_leau.png	French	Daria Apakhonchich				Julie Bonin		Éditions Tourgueneff	
c7767d9b-41cb-4c16-9c75-20110ab7ad76		https://tamizdatproject.org/publications/dendrarium-piat-sadov-zakliuchennogo-degtiageva/	dendrarium-piat-sadov-zakliuchennogo-degtiageva	Dendrarium. Пять садов заключенного Дегтярева		Dendrarium. Piat' sadov zakliuchennogo Degtiageva		2026	[Place Unidentified]	None	Alisa Kusti. <i>Dendrarium. Piat' sadov zakliuchennogo Degtiageva</i>. [Place Unidentified]: Shell(f) Publishing, 2026.	https://tamizdatproject.org/media/publication_images/dendrarium-piat-sadov-zakliuchennogo-degtiageva_Q7mbrbX.jpg	Russian	Alisa Kusti						Shell(f) Publishing	
a0f24524-8a7e-469f-9b9b-98ab8f8ea287	2	https://tamizdatproject.org/publications/devochki-i-institutsii/	devochki-i-institutsii	Девочки и институции		Devochki i institutsii		2026	Vilnius	None	Daria Serenko. <i>Devochki i institutsii</i>. Vilnius: One Book Publishing, 2026.	https://tamizdatproject.org/media/publication_images/devochki.png	Russian	Daria Serenko						One Book Publishing	
44248bf5-175e-4946-8e3c-625df3a98835		https://tamizdatproject.org/publications/dezertirka/	dezertirka	Дезертирка		Dezertirka		2026	Paris	None	Daria Apakhonchich. <i>Dezertirka</i>. Paris: Éditions Tourgueneff, 2026.	https://tamizdatproject.org/media/publication_images/dezertirka.png	Russian	Daria Apakhonchich						Éditions Tourgueneff	
8a0453d4-6b3b-46c1-97d7-eb3a25674120		https://tamizdatproject.org/publications/dostaem-dvoinye-listochki/	dostaem-dvoinye-listochki	Достаем двойные листочки		Dostaem dvoinye listochki		2026	Bratislava	Princeton University Library	Linor Goralik. <i>Dostaem dvoinye listochki</i>. Bratislava: Vidim Books, 2026.	https://tamizdatproject.org/media/publication_images/600x600-3_dK3Xtw2.jpeg	Russian	Linor Goralik						Vidim Books	
eead7140-5674-4363-8439-2e1ce1dfea03		https://tamizdatproject.org/publications/durak-v-strane-bez-neba/	durak-v-strane-bez-neba	Дурак в стране без неба		Durak v strane bez neba		2026	[Place Unidentified]	None	Igor Narovsky. <i>Durak v strane bez neba</i>. [Place Unidentified]: Freedom Letters, 2026.	https://tamizdatproject.org/media/publication_images/durak-v-strane-bez-neba.jpeg	Russian	Igor Narovsky						Freedom Letters	
91c98e02-cd18-4399-8f38-6a382cbf3efa		https://tamizdatproject.org/publications/evgeny-shvarts-sudba-skazochnika-v-epokhu-drakona/	evgeny-shvarts-sudba-skazochnika-v-epokhu-drakona	Евгений Шварц. Судьба Сказочника в эпоху Дракона		Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona		2026	Leipzig	New York University | Princeton University Library | University of Pennsylvania Libraries | Minuteman Library Network | Harvard University | University of Toronto Group | Michigan State University Libraries | University of Washington Libraries | UC Berkeley Libraries | Zentralbibliothek Zürich	Natalia Gromova. <i>Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona</i>. Leipzig: ISIA Media Verlag, 2026.	https://tamizdatproject.org/media/publication_images/evgenij-svarc-sud-ba-ckazocnika-v-epohu-drakona.jpg	Russian	Natalia Gromova						ISIA Media Verlag	
a00178c6-733c-4b17-8246-18c4ed550d8b		https://tamizdatproject.org/publications/fiamet/	fiamet	Фьямет		Fiamet		2026	Paris	None	Boris Leibov. <i>Fiamet</i>. Edited by Tatiana Timakova. Paris: Éditions Tourgueneff, 2026.	https://tamizdatproject.org/media/publication_images/fiamet.png	Russian	Boris Leibov		Tatiana Timakova				Éditions Tourgueneff	
98fd11a7-ab5b-4e81-ada0-d5b1fe7ecf47		https://tamizdatproject.org/publications/glaz-mukhi/	glaz-mukhi	Глаз мухи		Glaz mukhi		2026	Bratislava	None	Viktor Melamed. <i>Glaz mukhi</i>. Bratislava: Vidim Books, 2026.	https://tamizdatproject.org/media/publication_images/600x600-4_635oWNW.jpeg	Russian	Viktor Melamed						Vidim Books	
beaf2a03-6b02-4a43-b81a-69ba3db046e1		https://tamizdatproject.org/publications/gorby/	gorby	GORBY: Отборное		GORBY: Otbornoe		2026	[Place Unidentified]	None	<i>GORBY: Otbornoe</i>. [Place Unidentified]: Freedom Letters, 2026.	https://tamizdatproject.org/media/publication_images/gorby.jpeg	Russian							Freedom Letters	
