uuid	library	publication
846c706f-8f81-4f65-b091-217296c7f2e3	New York University	"Andrei Bilzho. Azbuka. 2022 - 20. Riga: Freedom Letters, 2025."
846c706f-8f81-4f65-b091-217296c7f2e3	Princeton University Library	"Andrei Bilzho. Azbuka. 2022 - 20. Riga: Freedom Letters, 2025."
846c706f-8f81-4f65-b091-217296c7f2e3	University of Pennsylvania Libraries	"Andrei Bilzho. Azbuka. 2022 - 20. Riga: Freedom Letters, 2025."
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39	Princeton University Library	"Anonimnyi avtor. Hey, sokoly! ili moi papa - Muraviev-Apostol. Duisburg: Fresh Verlag, 2023."
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39	Harvard University	"Anonimnyi avtor. Hey, sokoly! ili moi papa - Muraviev-Apostol. Duisburg: Fresh Verlag, 2023."
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39	Deutsche Nationalbibliothek Frankfurt am Main	"Anonimnyi avtor. Hey, sokoly! ili moi papa - Muraviev-Apostol. Duisburg: Fresh Verlag, 2023."
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39	Deutsche Nationalbibliothek Leipzig	"Anonimnyi avtor. Hey, sokoly! ili moi papa - Muraviev-Apostol. Duisburg: Fresh Verlag, 2023."
8dd0260d-e28f-42cd-aea9-4d4fa3c95a39	"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Haus Potsdamer Straße"	"Anonimnyi avtor. Hey, sokoly! ili moi papa - Muraviev-Apostol. Duisburg: Fresh Verlag, 2023."
ecd9f48a-4f76-4e1e-9794-f266bc85b021	Princeton University Library	"Anton Dolin. 50 (piatdesiat). Riga: Meduza, 2026."
3d5ee505-7d66-423c-98b2-d336c3d6143f	Boston College	"Eugene Ostashevsky. Alphabet Soup. The Translingual Sayings of Emma and Eva as Recorded by Their Father. With an essay and poems by the author. New York - Helsinki: Tamizdat Project and Rab-Rab Press, 2026."
3d5ee505-7d66-423c-98b2-d336c3d6143f	Lafayette College	"Eugene Ostashevsky. Alphabet Soup. The Translingual Sayings of Emma and Eva as Recorded by Their Father. With an essay and poems by the author. New York - Helsinki: Tamizdat Project and Rab-Rab Press, 2026."
61b3de55-679c-4855-9871-1ce2aa08b306	None	"Mikhail Bokov. Anarkhisty. [Place Unidentified]: Freedom Letters, 2026."
189c2f9b-d3bc-407d-b5e3-abd52c491050	New York University	"Yanina Vishnevskaia. Angel veshchei. Ozolnieki: Literature without Borders, 2026."
189c2f9b-d3bc-407d-b5e3-abd52c491050	Princeton University Library	"Yanina Vishnevskaia. Angel veshchei. Ozolnieki: Literature without Borders, 2026."
63bc4b22-d161-4a3e-b726-791f3ea25850	None	"Svetlana Alexievich. Čas second-hand. Translated by Kaciaryna Macijeŭskaja. Vilnius: Pflaŭmbaŭm, 2026."
90f0c2df-5c6b-4b26-9051-4708045f75a6	None	"Dmitry Bykov. Chernaia rechka. [Place Unidentified]: Freedom Letters, 2026."
43919f7d-488b-4bcf-828f-c41e83043098	None	"Aleksandr Kabanov. Chudesnym obrazom. [Place Unidentified]: Freedom Letters, 2026."
396c8eb9-f2e4-4b86-a234-0413166fa4cd	None	"Daria Apakhonchich. Comme l’eau dans un poisson. Translated by Julie Bonin. Paris: Éditions Tourgueneff, 2026."
c7767d9b-41cb-4c16-9c75-20110ab7ad76	None	"Alisa Kusti. Dendrarium. Piat' sadov zakliuchennogo Degtiageva. [Place Unidentified]: Shell(f) Publishing, 2026."
a0f24524-8a7e-469f-9b9b-98ab8f8ea287	None	"Daria Serenko. Devochki i institutsii. Vilnius: One Book Publishing, 2026."
44248bf5-175e-4946-8e3c-625df3a98835	None	"Daria Apakhonchich. Dezertirka. Paris: Éditions Tourgueneff, 2026."
8a0453d4-6b3b-46c1-97d7-eb3a25674120	Princeton University Library	"Linor Goralik. Dostaem dvoinye listochki. Bratislava: Vidim Books, 2026."
eead7140-5674-4363-8439-2e1ce1dfea03	None	"Igor Narovsky. Durak v strane bez neba. [Place Unidentified]: Freedom Letters, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	New York University	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	Princeton University Library	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	University of Pennsylvania Libraries	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	Minuteman Library Network	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	Harvard University	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	University of Toronto Group	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	Michigan State University Libraries	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	University of Washington Libraries	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	UC Berkeley Libraries	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
91c98e02-cd18-4399-8f38-6a382cbf3efa	Zentralbibliothek Zürich	"Natalia Gromova. Evgeny Shvarts. Sud'ba Skazochnika v epokhu Drakona. Leipzig: ISIA Media Verlag, 2026."
a00178c6-733c-4b17-8246-18c4ed550d8b	None	"Boris Leibov. Fiamet. Edited by Tatiana Timakova. Paris: Éditions Tourgueneff, 2026."
98fd11a7-ab5b-4e81-ada0-d5b1fe7ecf47	None	"Viktor Melamed. Glaz mukhi. Bratislava: Vidim Books, 2026."
beaf2a03-6b02-4a43-b81a-69ba3db046e1	None	"GORBY: Otbornoe. [Place Unidentified]: Freedom Letters, 2026."
34a7e7db-f3ec-4eea-8e7f-234820d094ba	New York University	"Natalia Krupenina. Ia umeiu padat'. Riga: Meduza, 2026."
34a7e7db-f3ec-4eea-8e7f-234820d094ba	Princeton University Library	"Natalia Krupenina. Ia umeiu padat'. Riga: Meduza, 2026."
34a7e7db-f3ec-4eea-8e7f-234820d094ba	Harvard University	"Natalia Krupenina. Ia umeiu padat'. Riga: Meduza, 2026."
34a7e7db-f3ec-4eea-8e7f-234820d094ba	University of North Carolina at Chapel Hill. University Libraries	"Natalia Krupenina. Ia umeiu padat'. Riga: Meduza, 2026."
8a5d17ed-fec6-40dc-bb3f-21607d3e9706	None	"Sasha Vasiliuk. Iavka strogo obiazatelna. Translated by Maksim Nemtsov. [Place Unidentified]: Freedom Letters, 2026."
c89aadad-561a-44e7-a6a8-592dc4d7af2c	Princeton University Library	"Serhiy Herman. Inge. New York: Virgola Press, 2026."
694106c6-7766-4e3b-96ad-239d0d8c88d1	None	"Elena Chernyshova. Inorodnoe telo. [Place Unidentified]: Shell(f) Publishing, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	New York University	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Princeton University Library	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Cornell University Library	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Boston College	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Harvard University	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Library of Congress	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	University of Toronto Group	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Cleveland Public Library	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Michigan State University Libraries	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	University of Illinois at Chicago Library	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	Tulane University	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	University of Alberta	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
e91d5a85-536f-4590-8aa4-4cb3cfbc3370	UC Berkeley Libraries	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom III. Bratislava: Vidim Books, 2026."
9cae2d3e-c1d0-4b0f-b267-fc687d15b9f5	None	"Andrei Zubov. Istoria Rossii XIX stoletiia. Tom IV. Bratislava: Vidim Books, 2026."
44fd96ea-6ccb-4e64-a872-abf8e37f4865	Princeton University Library	"Dmitry Strotsev. Kak vygliadit smert'. Warsaw: Miane Niama, 2026."
44fd96ea-6ccb-4e64-a872-abf8e37f4865	Zentralbibliothek Zürich	"Dmitry Strotsev. Kak vygliadit smert'. Warsaw: Miane Niama, 2026."
44fd96ea-6ccb-4e64-a872-abf8e37f4865	"National Library of Poland, Biblioteka Narodowa"	"Dmitry Strotsev. Kak vygliadit smert'. Warsaw: Miane Niama, 2026."
60981cfe-0247-4807-8916-68645c42d003	Princeton University Library	"Andrei Ivanov. Kharbinskie motylki. Bratislava: Vidim Books, 2026."
